payment_type,datetime,transaction_id,transaction_success,failure_reason
Electronic,2021-09-17 19:02:04,561581,N,Authentication error
Wallet,2021-03-18 20:09:00,386357,N,Insifficient funds
Electronic,2021-01-06 09:52:13,580391,Y,
Card,2021-03-06 14:36:20,102971,Y,
Wallet,2021-12-05 09:50:48,251844,Y,
Card,2021-04-13 08:47:40,492545,Y,
Card,2021-01-01 11:31:18,16485,Y,
Card,2021-05-16 17:16:42,819006,N,Insufficient funds
Card,2021-11-15 18:47:42,84106,N,Declined by merchant
Wallet,2021-02-03 12:35:02,71181,N,Authentication error
Electronic,2021-08-02 13:06:26,386585,Y,
Card,2021-12-13 12:13:08,400927,N,CVV
Card,2021-12-19 09:52:30,41945,N,Insufficient funds
Wallet,2021-09-10 18:57:56,804921,N,Gateway error
Wallet,2021-07-29 16:53:51,570154,Y,
Electronic,2021-12-06 19:31:02,483044,Y,
Electronic,2021-07-14 18:36:34,879195,Y,
Wallet,2021-01-10 11:40:46,30423,N,Gateway error
Card,2021-09-13 09:16:25,607015,Y,
Card,2021-06-22 15:13:18,518444,N,CVV
Wallet,2021-05-05 09:45:19,104256,Y,
Card,2021-07-22 18:03:53,229247,Y,
Electronic,2021-07-15 11:01:20,718648,Y,
Wallet,2021-01-04 13:05:38,445060,N,Insifficient funds
Card,2021-04-27 15:41:09,162972,Y,
Wallet,2021-10-14 11:31:30,588660,N,Insifficient funds
Electronic,2021-04-24 09:34:32,65212,Y,
Wallet,2021-01-06 10:11:09,119604,Y,
Electronic,2021-09-15 11:56:04,288074,Y,
Electronic,2021-09-03 12:58:11,407028,Y,
Card,2021-02-25 15:28:56,460998,N,CVV
Electronic,2021-02-26 09:02:33,157112,N,Authentication error
Wallet,2021-10-16 19:53:46,84834,N,Authentication error
Electronic,2021-02-14 08:27:19,331097,N,Authentication error
Card,2021-12-25 14:54:07,324677,Y,
Wallet,2021-07-15 20:52:27,8715,N,Insifficient funds
Card,2021-09-21 20:36:05,929615,N,CVV
Card,2021-12-20 08:42:57,660691,Y,
Wallet,2021-08-01 17:38:37,12581,N,Authentication error
Wallet,2021-02-04 19:32:12,786051,N,Authentication error
Electronic,2021-04-22 19:33:51,743727,N,Authentication error
Wallet,2021-05-30 19:39:23,828911,Y,
Electronic,2021-12-13 12:19:11,501947,Y,
Wallet,2021-10-01 12:38:05,615895,Y,
Card,2021-12-07 13:39:44,695415,N,Gateway error
Card,2021-09-04 11:31:10,967853,N,Declined by merchant
Wallet,2021-08-28 18:46:08,762337,N,Authentication error
Electronic,2021-05-07 20:59:19,195617,N,Gateway error
Wallet,2021-12-09 15:31:24,344602,N,Authentication error
Wallet,2021-10-26 17:39:33,653952,N,Gateway error
Card,2021-03-29 11:39:09,506245,N,CVV
Card,2021-02-27 08:15:35,99613,N,CVV
Wallet,2021-08-12 20:18:46,515756,Y,
Card,2021-10-06 15:33:54,471610,Y,
Card,2021-09-02 16:05:16,188022,N,Declined by merchant
Wallet,2021-08-26 13:08:01,512986,Y,
Electronic,2021-03-16 13:31:06,738853,N,Gateway error
Card,2021-12-29 15:24:26,862254,Y,
Electronic,2021-10-03 11:07:29,733216,Y,
Card,2021-05-11 20:51:57,221119,Y,
Card,2021-08-17 18:25:59,782027,Y,
Electronic,2021-05-28 11:42:56,331140,Y,
Wallet,2021-07-14 15:22:14,690460,N,Insifficient funds
Electronic,2021-08-29 19:17:43,391119,N,Authentication error
Electronic,2021-07-08 18:58:12,819731,Y,
Wallet,2021-02-25 12:43:48,809527,N,Authentication error
Card,2021-03-26 15:46:08,764573,N,Insufficient funds
Wallet,2021-02-09 10:34:45,855067,Y,
Card,2021-10-22 10:21:52,678722,Y,
Wallet,2021-11-21 12:09:48,970698,Y,
Electronic,2021-05-23 13:30:39,71736,N,Authentication error
Card,2021-10-11 12:24:44,980582,N,Insufficient funds
Electronic,2021-05-14 12:21:58,873449,N,Gateway error
Card,2021-09-22 12:45:31,950628,Y,
Wallet,2021-08-28 18:31:41,617257,N,Authentication error
Electronic,2021-05-30 11:38:46,793153,Y,
Card,2021-09-21 20:04:15,137993,N,CVV
Wallet,2021-10-17 12:48:40,887222,N,Authentication error
Wallet,2021-08-10 11:56:01,636134,N,Insifficient funds
Wallet,2021-12-19 19:41:24,792079,Y,
Card,2021-04-07 10:32:46,577832,Y,
Wallet,2021-08-25 11:31:53,538735,N,Authentication error
Wallet,2021-09-08 13:17:10,892090,N,Gateway error
Electronic,2021-07-17 20:24:17,766486,Y,
Electronic,2021-07-03 15:26:06,804237,Y,
Electronic,2021-03-10 11:10:17,971396,Y,
Card,2021-02-15 19:47:14,193232,Y,
Wallet,2021-04-02 17:50:06,955552,Y,
Electronic,2021-11-03 17:57:40,542757,N,Gateway error
Wallet,2021-08-11 12:22:00,694341,Y,
Wallet,2021-07-06 12:12:43,58948,N,Gateway error
Wallet,2021-08-17 15:50:44,81936,Y,
Electronic,2021-05-16 18:16:33,96733,Y,
Card,2021-06-20 14:09:54,871685,Y,
Electronic,2021-11-03 14:06:16,92530,Y,
Electronic,2021-09-22 16:52:11,405091,N,Authentication error
Card,2021-02-13 17:55:31,561577,Y,
Card,2021-06-20 17:53:54,363732,N,CVV
Wallet,2021-07-23 12:25:50,977643,N,Gateway error
Wallet,2021-11-08 15:16:14,406724,N,Gateway error
Wallet,2021-10-18 19:07:05,78231,Y,
Card,2021-09-17 09:20:27,976917,N,Gateway error
Card,2021-08-05 17:19:10,765229,Y,
Wallet,2021-01-04 14:35:10,240292,N,Authentication error
Wallet,2021-06-08 16:08:14,867629,N,Gateway error
Electronic,2021-08-29 09:16:35,680299,N,Authentication error
Wallet,2021-06-09 13:01:53,403032,Y,
Card,2021-01-14 17:56:13,361796,Y,
Card,2021-04-03 11:59:59,620515,N,Declined by merchant
Card,2021-09-05 12:39:02,131200,N,CVV
Wallet,2021-11-05 18:23:50,784350,Y,
Electronic,2021-03-25 08:38:33,783566,Y,
Card,2021-07-22 09:45:10,497450,Y,
Wallet,2021-09-26 08:53:54,579847,N,Insifficient funds
Card,2021-06-12 20:24:33,469169,Y,
Electronic,2021-03-26 13:56:11,814286,N,Authentication error
Card,2021-12-14 20:36:49,998108,N,Gateway error
Wallet,2021-02-27 09:19:55,375684,N,Insifficient funds
Card,2021-02-03 17:11:50,77114,N,CVV
Card,2021-10-24 14:26:12,351808,N,CVV
Card,2021-04-14 14:47:24,958775,N,Gateway error
Card,2021-01-26 08:32:36,294291,N,Insufficient funds
Wallet,2021-09-24 18:26:33,672295,N,Insifficient funds
Wallet,2021-01-08 10:53:41,626518,Y,
Card,2021-01-18 14:34:40,297677,N,Gateway error
Card,2021-09-09 12:12:29,694178,N,Gateway error
Card,2021-10-11 09:24:44,352219,N,CVV
Card,2021-12-12 14:25:51,562803,Y,
Electronic,2021-03-14 09:08:18,35643,Y,
Electronic,2021-05-25 09:10:09,719707,N,Gateway error
Wallet,2021-07-02 18:37:19,810520,Y,
Electronic,2021-02-15 08:29:23,50404,Y,
Wallet,2021-03-29 16:03:54,456499,N,Authentication error
Electronic,2021-02-08 18:31:39,709344,Y,
Electronic,2021-03-23 08:56:30,396233,N,Authentication error
Card,2021-03-23 08:28:54,431961,Y,
Card,2021-10-27 08:34:54,768318,N,Gateway error
Card,2021-11-06 14:33:52,765565,Y,
Electronic,2021-11-22 13:36:15,149608,N,Authentication error
Card,2021-08-07 18:57:05,597139,Y,
Electronic,2021-03-11 09:17:39,738509,Y,
Wallet,2021-04-27 15:57:35,567259,Y,
Electronic,2021-03-26 12:38:57,955620,Y,
Wallet,2021-06-03 17:12:06,977038,Y,
Card,2021-03-16 20:27:06,871144,N,Declined by merchant
Electronic,2021-04-30 17:55:56,34388,N,Gateway error
Electronic,2021-04-08 15:19:56,57276,Y,
Wallet,2021-11-08 19:07:11,763802,Y,
Electronic,2021-05-23 14:30:04,717897,Y,
Wallet,2021-10-12 10:45:32,667552,Y,
Card,2021-06-25 10:30:09,532577,Y,
Card,2021-11-20 08:06:45,224908,N,CVV
Wallet,2021-02-24 15:53:11,221388,Y,
Wallet,2021-10-25 17:17:11,122620,Y,
Electronic,2021-12-08 19:55:16,817148,N,Gateway error
Card,2021-01-18 19:30:34,577375,Y,
Wallet,2021-01-05 15:55:13,283339,N,Insifficient funds
Card,2021-10-23 12:33:16,778357,Y,
Card,2021-11-15 11:38:26,473523,N,Gateway error
Wallet,2021-11-26 13:49:05,304181,Y,
Card,2021-05-18 11:19:55,238143,N,Declined by merchant
Electronic,2021-12-28 20:04:38,261743,N,Gateway error
Card,2021-11-04 15:09:15,90994,Y,
Card,2021-01-02 09:36:04,458883,N,Insufficient funds
Electronic,2021-11-24 13:33:01,103400,Y,
Card,2021-07-18 12:22:07,311412,Y,
Card,2021-07-03 15:09:59,964055,Y,
Card,2021-07-26 20:26:45,328573,Y,
Wallet,2021-10-14 19:04:25,780760,Y,
Wallet,2021-12-23 13:48:02,401748,Y,
Electronic,2021-05-14 14:38:31,968628,Y,
Card,2021-10-19 10:41:00,561353,Y,
Electronic,2021-02-05 17:17:45,5891,Y,
Card,2021-02-26 18:50:10,123716,Y,
Card,2021-11-03 12:01:29,506698,N,Insufficient funds
Card,2021-06-18 13:46:00,820329,N,Insufficient funds
Card,2021-09-21 19:25:20,184301,N,Insufficient funds
Wallet,2021-11-25 14:34:20,647877,N,Gateway error
Electronic,2021-12-25 13:25:47,447994,N,Gateway error
Wallet,2021-04-19 12:45:42,706195,Y,
Card,2021-01-21 15:37:04,49667,N,Insufficient funds
Card,2021-02-12 18:56:21,963401,Y,
Wallet,2021-11-03 16:14:51,853243,Y,
Card,2021-04-06 17:50:29,874456,N,CVV
Wallet,2021-08-26 15:27:00,153786,N,Insifficient funds
Electronic,2021-03-25 12:36:54,122625,N,Gateway error
Wallet,2021-02-27 14:27:44,658647,N,Insifficient funds
Electronic,2021-09-08 10:43:38,5723,Y,
Card,2021-09-04 19:25:31,951177,N,Insufficient funds
Electronic,2021-06-08 10:43:38,8879,Y,
Electronic,2021-11-20 16:38:15,391995,Y,
Card,2021-01-02 18:54:48,64997,Y,
Card,2021-10-19 12:16:41,335988,Y,
Wallet,2021-11-01 16:26:14,137519,Y,
Card,2021-06-07 12:51:57,295698,N,CVV
Wallet,2021-10-08 14:33:28,637107,Y,
Wallet,2021-12-01 19:31:19,245797,N,Gateway error
Card,2021-06-04 16:04:10,995638,N,Insufficient funds
Card,2021-08-10 18:43:26,977020,N,Insufficient funds
Electronic,2021-01-03 16:19:24,689305,Y,
Electronic,2021-12-23 14:03:36,17504,Y,
Electronic,2021-09-11 14:57:57,467059,N,Authentication error
Card,2021-05-10 12:05:00,289725,N,Gateway error
Card,2021-11-23 18:51:29,233165,Y,
Wallet,2021-09-14 13:54:42,711205,Y,
Electronic,2021-07-02 17:47:01,936717,Y,
Card,2021-04-26 19:31:38,939847,N,Gateway error
Card,2021-09-07 14:06:13,155953,Y,
Wallet,2021-07-07 11:30:01,459367,N,Insifficient funds
Wallet,2021-05-14 18:33:43,698124,N,Authentication error
Electronic,2021-08-22 13:08:00,453696,Y,
Card,2021-03-29 12:12:32,329858,N,CVV
Wallet,2021-11-01 14:01:47,167899,Y,
Card,2021-11-11 13:54:37,654845,Y,
Electronic,2021-02-19 20:35:24,95852,Y,
Wallet,2021-02-04 11:40:07,755633,N,Gateway error
Wallet,2021-11-07 11:12:04,747378,Y,
Electronic,2021-01-04 16:45:31,55027,Y,
Card,2021-11-09 19:18:15,716160,Y,
Card,2021-01-17 14:56:03,945284,Y,
Card,2021-12-20 09:40:30,700378,Y,
Wallet,2021-09-14 17:13:59,622961,Y,
Card,2021-09-09 19:55:17,138829,Y,
Electronic,2021-07-01 18:24:59,85808,Y,
Electronic,2021-02-19 16:40:20,849543,Y,
Wallet,2021-12-14 18:19:43,731486,N,Gateway error
Card,2021-11-30 14:40:22,524823,Y,
Electronic,2021-10-11 11:09:06,421754,N,Authentication error
Wallet,2021-02-28 16:09:38,391251,Y,
Wallet,2021-02-05 12:01:18,734575,Y,
Wallet,2021-10-21 10:18:34,127934,Y,
Card,2021-03-05 18:56:15,832467,Y,
Card,2021-07-24 19:20:20,873694,N,Gateway error
Card,2021-11-19 18:27:14,406987,N,CVV
Card,2021-05-03 09:54:31,332523,Y,
Card,2021-01-27 08:18:42,832002,N,CVV
Electronic,2021-12-27 19:22:43,295972,Y,
Card,2021-01-20 18:32:26,968211,Y,
Card,2021-04-10 18:34:01,178446,Y,
Electronic,2021-12-22 14:15:01,959687,N,Authentication error
Card,2021-06-26 11:36:35,882719,Y,
Electronic,2021-01-08 14:02:34,86660,N,Gateway error
Card,2021-09-12 19:16:18,117031,N,Gateway error
Card,2021-06-02 10:08:48,205911,Y,
Card,2021-05-05 16:18:30,339315,N,Insufficient funds
Card,2021-07-09 09:46:44,618178,N,Insufficient funds
Card,2021-01-13 14:59:01,536943,Y,
Wallet,2021-01-14 18:07:29,413530,Y,
Card,2021-08-16 15:55:32,877626,Y,
Electronic,2021-01-22 19:08:41,241195,N,Gateway error
Wallet,2021-05-27 09:51:18,382496,Y,
Wallet,2021-10-16 17:55:42,864278,N,Gateway error
Wallet,2021-05-08 13:02:55,214529,N,Insifficient funds
Card,2021-08-19 16:09:25,752678,Y,
Electronic,2021-04-17 17:52:52,331602,Y,
Electronic,2021-08-29 08:36:46,9301,Y,
Wallet,2021-02-06 19:05:17,808909,N,Authentication error
Wallet,2021-05-19 18:48:46,151195,N,Insifficient funds
Card,2021-11-10 14:54:56,530471,N,CVV
Electronic,2021-04-06 16:16:43,619181,Y,
Wallet,2021-02-24 08:22:59,978922,N,Insifficient funds
Card,2021-03-16 17:05:52,810035,Y,
Electronic,2021-04-28 20:28:43,473381,Y,
Card,2021-08-01 12:56:33,461732,Y,
Wallet,2021-12-16 10:01:34,869772,N,Insifficient funds
Wallet,2021-05-11 09:33:44,97254,N,Insifficient funds
Wallet,2021-02-02 19:37:20,991490,N,Insifficient funds
Electronic,2021-12-29 16:34:50,287948,Y,
Card,2021-06-17 16:29:56,501222,Y,
Card,2021-05-13 17:07:09,947513,N,Insufficient funds
Electronic,2021-07-22 12:56:17,363192,Y,
Wallet,2021-09-10 11:56:04,289403,N,Authentication error
Wallet,2021-02-06 13:54:18,932916,Y,
Electronic,2021-12-30 20:08:15,620106,Y,
Card,2021-07-01 15:58:05,246969,Y,
Electronic,2021-03-23 11:37:56,65996,N,Gateway error
Wallet,2021-05-10 15:09:54,818236,N,Gateway error
Electronic,2021-12-19 10:49:03,10991,Y,
Electronic,2021-05-23 17:31:27,492221,Y,
Card,2021-12-26 16:16:29,577049,Y,
Electronic,2021-06-29 11:39:39,598037,Y,
Wallet,2021-01-01 13:00:56,45229,Y,
Electronic,2021-05-18 16:32:03,851833,Y,
Card,2021-10-01 18:09:37,536634,N,Gateway error
Card,2021-04-18 13:01:55,504561,N,Gateway error
Electronic,2021-11-23 10:07:41,448372,N,Gateway error
Wallet,2021-01-26 16:48:04,482386,N,Insifficient funds
Wallet,2021-06-18 09:00:46,484552,N,Authentication error
Wallet,2021-10-07 08:00:48,411495,Y,
Wallet,2021-12-03 13:37:21,14773,Y,
Card,2021-10-13 12:48:14,397215,Y,
Wallet,2021-09-24 14:29:23,611684,N,Gateway error
Electronic,2021-11-23 08:05:12,968676,N,Authentication error
Electronic,2021-01-26 20:51:41,532069,N,Authentication error
Wallet,2021-10-28 16:31:07,552322,Y,
Wallet,2021-08-19 17:19:41,838526,N,Insifficient funds
Wallet,2021-01-27 08:12:16,748573,Y,
Electronic,2021-02-26 18:09:01,982081,N,Gateway error
Electronic,2021-01-15 19:56:03,776351,N,Gateway error
Electronic,2021-07-17 14:48:01,386208,Y,
Card,2021-01-04 19:53:08,16054,N,Gateway error
Card,2021-03-24 20:18:25,224777,N,Insufficient funds
Electronic,2021-12-21 15:25:39,139080,N,Gateway error
Card,2021-02-11 14:25:38,909302,Y,
Card,2021-02-02 19:37:46,979604,Y,
Card,2021-10-13 17:21:44,211030,N,Declined by merchant
Card,2021-11-24 18:42:18,280790,Y,
Wallet,2021-02-26 16:14:24,154430,Y,
Electronic,2021-01-05 12:43:47,957626,Y,
Card,2021-11-14 19:26:30,885025,N,Gateway error
Card,2021-08-01 13:19:04,813986,N,CVV
Wallet,2021-07-16 08:45:31,553728,N,Insifficient funds
Wallet,2021-02-08 13:23:42,680321,Y,
Wallet,2021-09-11 15:51:21,578037,Y,
Card,2021-05-21 18:46:13,645134,Y,
Wallet,2021-07-23 08:35:33,337056,N,Insifficient funds
Electronic,2021-08-22 10:36:47,159698,N,Authentication error
Electronic,2021-02-26 15:53:45,386240,N,Gateway error
Card,2021-07-03 09:12:22,918502,Y,
Card,2021-05-12 14:48:40,95167,Y,
Card,2021-02-11 15:50:01,128223,N,CVV
Electronic,2021-04-19 10:47:46,399191,Y,
Wallet,2021-05-06 08:44:45,646681,N,Authentication error
Wallet,2021-04-04 18:47:26,7784,N,Insifficient funds
Electronic,2021-04-29 10:56:39,592955,Y,
Electronic,2021-07-21 15:51:12,893689,N,Authentication error
Wallet,2021-05-11 08:29:01,16979,N,Insifficient funds
Card,2021-07-22 11:37:38,282737,N,Declined by merchant
Electronic,2021-05-12 08:43:35,429951,N,Gateway error
Electronic,2021-07-14 14:23:36,523607,Y,
Wallet,2021-06-23 11:58:57,837563,N,Gateway error
Electronic,2021-05-02 20:03:20,624659,Y,
Wallet,2021-02-25 08:50:58,220790,N,Gateway error
Electronic,2021-05-29 11:30:38,267975,Y,
Wallet,2021-02-08 14:01:38,311767,Y,
Electronic,2021-08-01 08:06:45,236005,Y,
Card,2021-08-11 11:12:30,844701,Y,
Wallet,2021-02-02 20:23:34,344397,Y,
Card,2021-07-05 08:14:08,336870,N,Gateway error
Wallet,2021-06-25 19:52:29,526190,N,Insifficient funds
Card,2021-06-14 13:16:35,477880,Y,
Wallet,2021-10-14 17:46:02,277079,N,Gateway error
Card,2021-12-22 15:08:18,440232,Y,
Electronic,2021-11-26 10:00:27,998825,Y,
Card,2021-02-05 10:32:44,76858,N,Declined by merchant
Electronic,2021-06-19 15:06:57,587346,Y,
Card,2021-09-01 14:16:18,919948,N,Insufficient funds
Card,2021-08-25 16:24:10,479415,N,CVV
Wallet,2021-09-09 09:24:03,884108,Y,
Wallet,2021-07-25 09:10:31,341073,Y,
Electronic,2021-01-14 15:29:00,395980,N,Gateway error
Card,2021-08-02 14:57:11,505887,Y,
Card,2021-06-07 17:00:25,505290,N,Gateway error
Card,2021-08-11 18:38:51,929342,Y,
Card,2021-07-23 11:54:18,345395,N,Gateway error
Wallet,2021-09-26 13:06:52,879822,Y,
Wallet,2021-05-05 14:24:43,273064,Y,
Electronic,2021-10-24 10:32:33,966682,N,Authentication error
Card,2021-02-03 13:54:35,145641,Y,
Wallet,2021-07-08 11:34:06,429189,Y,
Card,2021-07-07 15:23:45,243285,Y,
Wallet,2021-06-19 12:16:32,479924,N,Gateway error
Wallet,2021-10-24 12:10:30,725099,Y,
Card,2021-10-24 16:40:35,356934,Y,
Card,2021-02-15 10:10:10,252605,Y,
Wallet,2021-05-18 10:50:06,393877,Y,
Electronic,2021-01-28 19:05:41,300203,Y,
Card,2021-01-06 19:26:03,215732,Y,
Card,2021-04-02 20:48:15,93927,Y,
Card,2021-02-12 19:58:07,470299,N,Gateway error
Wallet,2021-10-03 13:48:08,190653,N,Gateway error
Electronic,2021-05-03 14:30:36,547100,Y,
Wallet,2021-03-29 11:34:07,31197,N,Gateway error
Card,2021-08-27 15:48:31,353879,Y,
Wallet,2021-06-09 13:23:02,378718,Y,
Card,2021-02-20 09:13:52,863011,N,Gateway error
Electronic,2021-02-25 09:03:18,638138,N,Gateway error
Wallet,2021-03-27 14:20:38,379220,N,Gateway error
Electronic,2021-02-19 12:14:48,807639,Y,
Electronic,2021-06-15 16:34:12,422736,Y,
Card,2021-02-21 10:09:40,127226,Y,
Electronic,2021-02-20 10:58:09,464767,N,Gateway error
Wallet,2021-09-21 18:40:10,147605,N,Gateway error
Card,2021-06-10 13:49:48,731036,Y,
Wallet,2021-03-04 20:29:41,426287,Y,
Electronic,2021-08-08 14:46:24,129113,N,Gateway error
Card,2021-11-08 16:34:42,465098,N,Gateway error
Electronic,2021-12-19 17:51:02,407805,Y,
Wallet,2021-05-16 14:11:50,745029,Y,
Electronic,2021-06-13 17:02:35,722354,N,Gateway error
Card,2021-08-01 11:08:04,844769,Y,
Electronic,2021-01-05 18:04:02,584078,Y,
Card,2021-01-25 09:38:09,306991,N,CVV
Electronic,2021-02-01 14:54:32,850945,Y,
Wallet,2021-10-30 08:30:57,711148,N,Insifficient funds
Card,2021-11-02 15:20:18,527560,N,CVV
Wallet,2021-11-17 08:59:16,894695,Y,
Electronic,2021-04-18 16:19:13,830597,Y,
Electronic,2021-07-16 11:23:21,290332,N,Authentication error
Electronic,2021-02-07 15:56:42,393598,Y,
Card,2021-06-14 20:01:04,455702,N,Gateway error
Electronic,2021-10-29 19:13:35,760384,Y,
Wallet,2021-07-25 12:48:51,369088,Y,
Electronic,2021-05-01 13:37:21,431931,Y,
Card,2021-12-30 12:51:33,751216,Y,
Electronic,2021-06-07 15:39:08,137864,N,Authentication error
Card,2021-10-21 18:04:12,66911,Y,
Wallet,2021-03-05 13:51:54,665692,N,Authentication error
Card,2021-06-02 08:13:48,125403,N,Declined by merchant
Wallet,2021-03-04 20:38:48,557219,Y,
Wallet,2021-08-17 16:38:47,130006,Y,
Wallet,2021-08-20 18:10:57,642300,N,Gateway error
Wallet,2021-05-05 08:56:18,313528,N,Authentication error
Wallet,2021-01-14 10:04:32,41231,N,Insifficient funds
Wallet,2021-10-26 14:41:27,54152,Y,
Card,2021-05-28 14:16:06,473716,Y,
Electronic,2021-02-13 19:48:04,514276,N,Authentication error
Card,2021-02-07 17:58:37,239646,N,Insufficient funds
Electronic,2021-08-26 09:54:17,298295,N,Gateway error
Wallet,2021-02-28 16:15:21,735492,Y,
Electronic,2021-08-20 13:35:06,41296,Y,
Card,2021-10-06 09:56:06,437861,N,CVV
Wallet,2021-06-26 08:25:47,254041,N,Gateway error
Wallet,2021-03-03 09:58:45,897407,N,Gateway error
Electronic,2021-09-22 18:58:42,101779,Y,
Wallet,2021-04-04 19:36:09,502257,Y,
Card,2021-03-25 09:19:32,614562,Y,
Card,2021-05-04 09:37:33,502409,N,Insufficient funds
Wallet,2021-08-03 11:46:39,679841,N,Gateway error
Wallet,2021-11-05 12:40:47,507836,N,Gateway error
Wallet,2021-09-10 13:06:26,375350,Y,
Card,2021-10-21 15:15:01,515188,N,Insufficient funds
Electronic,2021-11-09 17:12:45,67273,Y,
Electronic,2021-06-28 17:31:39,115558,N,Gateway error
Electronic,2021-03-16 13:10:49,682433,Y,
Wallet,2021-11-18 09:53:25,961884,N,Insifficient funds
Wallet,2021-06-02 11:48:43,974585,N,Insifficient funds
Wallet,2021-08-08 12:38:40,41872,N,Gateway error
Electronic,2021-10-19 18:16:58,977472,Y,
Electronic,2021-03-20 15:57:39,336812,Y,
Electronic,2021-09-05 08:13:29,204533,Y,
Wallet,2021-07-29 08:30:04,311475,Y,
Wallet,2021-10-10 19:20:50,205730,N,Authentication error
Wallet,2021-07-06 20:42:44,641469,N,Insifficient funds
Card,2021-08-07 20:41:31,512981,Y,
Electronic,2021-10-13 12:40:04,647685,N,Authentication error
Electronic,2021-11-18 14:40:31,479557,Y,
Wallet,2021-08-19 11:58:15,534219,Y,
Electronic,2021-09-11 11:56:13,960206,Y,
Electronic,2021-01-23 12:21:25,299483,N,Gateway error
Wallet,2021-08-18 09:59:45,973462,N,Insifficient funds
Wallet,2021-08-18 08:25:54,965463,N,Authentication error
Card,2021-09-02 13:16:21,332503,N,Insufficient funds
Card,2021-01-11 18:56:05,286178,N,Insufficient funds
Electronic,2021-09-15 20:04:13,477696,Y,
Electronic,2021-09-10 08:50:16,376231,Y,
Card,2021-05-26 13:40:10,830170,N,CVV
Wallet,2021-02-23 14:09:51,198518,N,Insifficient funds
Card,2021-10-08 11:57:58,860249,Y,
Wallet,2021-04-09 16:42:56,929142,Y,
Wallet,2021-10-15 17:14:12,400599,N,Authentication error
Wallet,2021-04-16 13:05:07,86781,N,Insifficient funds
Wallet,2021-07-17 08:16:46,771340,Y,
Card,2021-01-14 10:36:25,503779,N,Gateway error
Electronic,2021-01-21 20:57:49,518562,N,Authentication error
Card,2021-01-02 18:02:53,453539,Y,
Wallet,2021-09-01 13:50:38,514008,Y,
Wallet,2021-07-04 20:16:13,896635,N,Gateway error
Electronic,2021-09-02 08:45:29,501374,N,Gateway error
Electronic,2021-05-15 20:30:58,401071,N,Gateway error
Electronic,2021-06-21 08:07:25,169280,Y,
Electronic,2021-02-09 17:03:11,277555,Y,
Card,2021-12-25 20:07:16,746175,Y,
Card,2021-05-30 14:20:09,760880,Y,
Card,2021-12-28 18:18:58,610646,N,Gateway error
Card,2021-07-30 20:13:19,4750,Y,
