id, payment type, payment trans id, payment trans success, failure reason
66, Card, 48611, Y, 
67, Internet Banking, 56255, Y, 
68, Electronic, 48533, Y, 
69, Gift card, 98859, N, Insufficent funds
70, Cash, 40978, Y, 
71, Cash, 30187, N, Insufficent funds
72, Card, 17353, Y, 
73, Gift card, 63889, Y, 
74, Card, 75733, N, Invalid card number
75, Electronic, 54544, N, Account locked
76, Cash, 59112, Y, 
77, Card, 51891, Y, 
78, Card, 66611, Y, 
79, Cash, 29229, Y, 
80, Cash, 58038, Y, 
81, Cash, 20284, Y, 
82, Electronic, 80578, N, Account locked
83, Gift card, 78787, Y, 
84, Electronic, 17922, Y, 
85, Cash, 83299, Y, 
86, Electronic, 32622, Y, 
87, Internet Banking, 63396, Y, 
88, Gift card, 22293, Y, 
89, Cash, 85843, Y, 
90, Gift card, 57620, N, Insufficent funds
91, Gift card, 74996, Y, 
92, Internet Banking, 63973, N, Account locked
93, Cash, 20828, Y, 
94, Internet Banking, 57689, Y, 
95, Cash, 11078, Y, 
96, Cash, 59140, Y, 
97, Electronic, 65658, Y, 
98, Gift card, 83654, Y, 
99, Card, 73900, Y, 
100, Card, 15010, Y, 
101, Gift card, 81767, Y, 
102, Internet Banking, 60637, Y, 
103, Card, 78691, Y, 
104, Internet Banking, 13540, Y, 
105, Cash, 87817, Y, 
106, Cash, 37812, N, Insufficent funds
107, Cash, 33510, Y, 
108, Electronic, 31277, Y, 
109, Electronic, 44921, N, Account locked
110, Internet Banking, 24131, Y, 
111, Gift card, 25746, N, Insufficent funds
112, Internet Banking, 36207, N, Account locked
113, Electronic, 44648, Y, 
114, Gift card, 74907, Y, 
115, Gift card, 83633, Y, 
116, Card, 51828, Y, 
117, Cash, 29316, Y, 
118, Cash, 23589, N, Insufficent funds
119, Gift card, 79782, Y, 
120, Internet Banking, 40088, Y, 
121, Cash, 98396, N, Insufficent funds
122, Cash, 31958, Y, 
123, Card, 12017, Y, 
124, Cash, 31439, Y, 
125, Card, 74064, Y, 
126, Cash, 48828, N, Insufficent funds
127, Gift card, 69664, N, Insufficent funds
128, Internet Banking, 44390, Y, 
129, Cash, 37013, Y, 
130, Cash, 24044, Y, 
131, Internet Banking, 18888, Y, 
132, Card, 65532, Y, 
133, Cash, 79095, N, Insufficent funds
134, Internet Banking, 18750, Y, 
135, Internet Banking, 94132, Y, 
136, Card, 48451, Y, 
137, Cash, 11691, Y, 
138, Internet Banking, 30803, Y, 
139, Card, 88156, Y, 
140, Internet Banking, 33039, Y, 
141, Electronic, 47220, Y, 
142, Cash, 87206, Y, 
143, Electronic, 63857, Y, 
144, Cash, 84916, Y, 
145, Cash, 93156, Y, 
146, Card, 62427, Y, 
147, Cash, 38403, Y, 
148, Card, 29030, N, Invalid zip code
149, Cash, 98064, Y, 
150, Card, 38673, Y, 
151, Electronic, 37087, Y, 
152, Gift card, 62309, N, Insufficent funds
153, Cash, 69675, N, Insufficent funds
154, Cash, 30688, Y, 
155, Internet Banking, 34822, Y, 
156, Cash, 45989, Y, 
157, Electronic, 53783, N, Account locked
158, Internet Banking, 44078, Y, 
159, Gift card, 54087, Y, 
160, Gift card, 18174, Y, 
161, Card, 95551, Y, 
162, Internet Banking, 42400, Y, 
163, Card, 89464, Y, 
164, Card, 19214, Y, 
165, Gift card, 38669, Y, 
166, Cash, 50606, Y, 
167, Internet Banking, 30553, N, Account locked
168, Electronic, 63223, Y, 
169, Internet Banking, 25475, Y, 
170, Internet Banking, 64575, Y, 
171, Card, 46951, N, Invalid CVV
172, Cash, 91565, Y, 
173, Card, 90924, Y, 
174, Internet Banking, 98865, Y, 
175, Cash, 34046, Y, 
176, Gift card, 95933, Y, 
177, Internet Banking, 94596, Y, 
178, Internet Banking, 26035, Y, 
179, Internet Banking, 26142, Y, 
180, Internet Banking, 98554, Y, 
181, Internet Banking, 99712, Y, 
182, Internet Banking, 35882, N, Account locked
183, Gift card, 56098, Y, 
184, Cash, 80356, N, Insufficent funds
185, Cash, 93892, N, Insufficent funds
186, Card, 88371, Y, 
187, Gift card, 28175, Y, 
188, Gift card, 43819, Y, 
189, Electronic, 81128, N, Account locked
190, Card, 81576, N, Invalid CVV
191, Internet Banking, 60349, Y, 
192, Card, 75297, N, Invalid card number
193, Cash, 30881, Y, 
194, Cash, 20476, Y, 
195, Card, 74261, Y, 
196, Gift card, 79146, N, Insufficent funds
197, Internet Banking, 10188, Y, 
198, Gift card, 29271, Y, 
199, Gift card, 23898, Y, 
200, Cash, 22764, Y, 
201, Electronic, 83130, N, Account locked
202, Gift card, 17069, Y, 
203, Card, 53950, Y, 
204, Electronic, 46810, N, Account locked
205, Card, 52099, Y, 
206, Cash, 47048, N, Insufficent funds
207, Gift card, 50679, Y, 
208, Gift card, 92528, Y, 
209, Card, 53183, Y, 
210, Electronic, 91110, Y, 
211, Card, 29122, Y, 
212, Electronic, 86777, Y, 
213, Electronic, 98391, Y, 
214, Gift card, 10881, N, Insufficent funds
215, Gift card, 40777, Y, 
216, Cash, 11693, Y, 
217, Cash, 11371, Y, 
218, Gift card, 88561, N, Insufficent funds
219, Gift card, 76447, Y, 
220, Cash, 22029, Y, 
221, Gift card, 63602, Y, 
222, Electronic, 18283, Y, 
223, Gift card, 69471, Y, 
224, Cash, 24682, Y, 
225, Gift card, 49815, Y, 
226, Internet Banking, 70973, Y, 
227, Gift card, 76403, Y, 
228, Cash, 77997, Y, 
229, Internet Banking, 62159, N, Account locked
230, Gift card, 75381, Y, 
231, Gift card, 47164, Y, 
232, Electronic, 69351, N, Account locked
233, Card, 77745, Y, 
234, Card, 11369, Y, 
235, Electronic, 77419, N, Account locked
236, Electronic, 42094, N, Account locked
237, Electronic, 69583, Y, 
238, Gift card, 70999, Y, 
239, Electronic, 71305, Y, 
240, Cash, 85077, N, Insufficent funds
241, Cash, 96598, Y, 
242, Internet Banking, 50256, N, Account locked
243, Gift card, 52321, Y, 
244, Card, 59224, Y, 
245, Electronic, 84155, Y, 
246, Electronic, 22331, Y, 
247, Gift card, 74293, N, Insufficent funds
248, Electronic, 58817, Y, 
249, Electronic, 68746, Y, 
250, Card, 50784, Y, 
251, Internet Banking, 27793, Y, 
252, Gift card, 44265, Y, 
253, Internet Banking, 29167, Y, 
254, Cash, 54146, Y, 
255, Internet Banking, 84622, Y, 
256, Gift card, 51879, N, Insufficent funds
257, Internet Banking, 72279, Y, 
258, Cash, 41991, Y, 
259, Internet Banking, 91966, Y, 
260, Cash, 77233, Y, 
261, Gift card, 46900, Y, 
262, Gift card, 68880, Y, 
263, Cash, 86350, Y, 
264, Cash, 17978, Y, 
265, Cash, 76562, Y, 
266, Electronic, 43216, Y, 
267, Gift card, 83200, Y, 
268, Card, 18240, Y, 
269, Electronic, 10132, N, Account locked
270, Card, 30142, Y, 
271, Gift card, 60619, Y, 
272, Internet Banking, 89057, Y, 
273, Gift card, 99482, Y, 
274, Gift card, 93757, N, Insufficent funds
275, Internet Banking, 92776, Y, 
276, Cash, 83653, N, Insufficent funds
277, Card, 64504, N, Invalid card number
278, Electronic, 88895, Y, 
279, Internet Banking, 53051, Y, 
280, Electronic, 58449, Y, 
281, Cash, 28283, Y, 
282, Electronic, 15165, N, Account locked
283, Card, 45433, Y, 
284, Card, 31054, N, Invalid zip code
285, Cash, 87432, Y, 
286, Electronic, 14488, Y, 
287, Cash, 20034, Y, 
288, Card, 70974, N, Invalid card number
289, Gift card, 83533, Y, 
290, Gift card, 59923, Y, 
291, Card, 34097, N, Invalid card number
292, Cash, 52898, Y, 
293, Internet Banking, 34332, Y, 
294, Cash, 50501, N, Insufficent funds
295, Internet Banking, 97960, N, Account locked
296, Gift card, 71878, Y, 
297, Internet Banking, 21561, N, Account locked
298, Internet Banking, 93875, N, Account locked
299, Electronic, 97975, N, Account locked
300, Gift card, 93635, Y, 
301, Card, 61525, Y, 
302, Electronic, 68733, N, Account locked
303, Electronic, 92518, N, Account locked
304, Gift card, 47554, Y, 
305, Gift card, 71884, N, Insufficent funds
306, Gift card, 95420, Y, 
307, Gift card, 94167, Y, 
308, Internet Banking, 53675, Y, 
309, Card, 98269, Y, 
310, Card, 73684, Y, 
311, Electronic, 49092, N, Account locked
312, Electronic, 33712, N, Account locked
313, Internet Banking, 42052, Y, 
314, Electronic, 27648, Y, 
315, Cash, 14041, Y, 
316, Card, 41795, Y, 
317, Internet Banking, 20462, Y, 
318, Cash, 89016, Y, 
319, Internet Banking, 42022, Y, 
320, Electronic, 58973, Y, 
321, Card, 78370, Y, 
322, Electronic, 38215, Y, 
323, Card, 34978, Y, 
324, Card, 86348, Y, 
325, Internet Banking, 91413, Y, 
326, Internet Banking, 18335, N, Account locked
327, Electronic, 86374, Y, 
328, Cash, 93503, Y, 
329, Card, 31890, Y, 
330, Card, 12951, N, Invalid zip code
331, Cash, 18067, Y, 
332, Internet Banking, 55525, N, Account locked
333, Internet Banking, 76454, N, Account locked
334, Internet Banking, 63913, Y, 
335, Internet Banking, 13413, Y, 
336, Cash, 10754, Y, 
337, Card, 96558, N, Invalid zip code
338, Card, 30169, Y, 
339, Electronic, 18760, Y, 
340, Internet Banking, 22121, Y, 
341, Cash, 72009, Y, 
342, Internet Banking, 58568, N, Account locked
343, Electronic, 22581, Y, 
344, Gift card, 82637, N, Insufficent funds
345, Gift card, 66829, N, Insufficent funds
346, Gift card, 19263, Y, 
347, Card, 31660, Y, 
348, Gift card, 21007, Y, 
349, Cash, 54819, Y, 
350, Electronic, 77300, Y, 
351, Cash, 73427, Y, 
352, Electronic, 42296, Y, 
353, Electronic, 28766, Y, 
354, Gift card, 87107, Y, 
355, Cash, 94594, Y, 
356, Card, 24444, Y, 
357, Card, 25367, Y, 
358, Cash, 41747, Y, 
359, Electronic, 93354, N, Account locked
360, Cash, 91621, N, Insufficent funds
361, Gift card, 22043, Y, 
362, Gift card, 72723, Y, 
363, Electronic, 92646, Y, 
364, Cash, 73510, Y, 
365, Cash, 15640, Y, 
366, Card, 93734, Y, 
367, Gift card, 89784, N, Insufficent funds
368, Cash, 54755, Y, 
369, Gift card, 39641, Y, 
370, Electronic, 53792, Y, 
371, Cash, 54518, Y, 
372, Card, 82089, N, Invalid card number
373, Electronic, 19426, N, Account locked
374, Cash, 69654, Y, 
375, Internet Banking, 58589, Y, 
376, Electronic, 16912, Y, 
377, Gift card, 90235, Y, 
378, Electronic, 63452, Y, 
379, Cash, 69929, Y, 
380, Card, 40014, N, Invalid card number
381, Gift card, 48959, Y, 
382, Electronic, 65420, N, Account locked
383, Internet Banking, 63092, N, Account locked
384, Gift card, 14327, Y, 
385, Internet Banking, 12719, Y, 
386, Gift card, 55524, Y, 
387, Gift card, 36778, N, Insufficent funds
388, Electronic, 75567, Y, 
389, Card, 81913, Y, 
390, Electronic, 86381, Y, 
391, Electronic, 72212, Y, 
392, Card, 25970, N, Invalid zip code
393, Gift card, 14282, Y, 
394, Internet Banking, 57549, Y, 
395, Electronic, 12866, Y, 
396, Electronic, 36181, Y, 
397, Gift card, 15188, Y, 
398, Gift card, 23526, N, Insufficent funds
399, Card, 62670, Y, 
400, Cash, 72569, Y, 
401, Gift card, 68770, N, Insufficent funds
402, Card, 28676, Y, 
403, Internet Banking, 94034, Y, 
404, Gift card, 44589, Y, 
405, Gift card, 10974, N, Insufficent funds
406, Gift card, 75430, N, Insufficent funds
407, Card, 10482, Y, 
408, Internet Banking, 66180, Y, 
409, Card, 64949, N, Invalid CVV
410, Gift card, 16692, Y, 
411, Card, 35376, N, Invalid CVV
412, Cash, 70092, Y, 
413, Cash, 49843, N, Insufficent funds
414, Card, 67284, N, Invalid CVV
415, Cash, 49578, Y, 
416, Card, 31917, Y, 
417, Internet Banking, 51811, Y, 
418, Electronic, 20733, N, Account locked
419, Internet Banking, 73513, Y, 
420, Internet Banking, 36721, N, Account locked
421, Gift card, 42053, Y, 
422, Card, 77724, Y, 
423, Internet Banking, 38191, Y, 
424, Gift card, 97799, Y, 
425, Internet Banking, 46672, Y, 
426, Internet Banking, 43255, N, Account locked
427, Electronic, 10643, Y, 
428, Gift card, 64367, N, Insufficent funds
429, Gift card, 25630, N, Insufficent funds
430, Internet Banking, 69886, Y, 
431, Card, 47253, Y, 
432, Internet Banking, 49252, Y, 
433, Cash, 83860, Y, 
434, Cash, 94481, Y, 
435, Gift card, 24628, Y, 
436, Internet Banking, 49325, Y, 
437, Cash, 44693, N, Insufficent funds
438, Gift card, 18208, Y, 
439, Card, 16799, Y, 
440, Cash, 35260, Y, 
441, Electronic, 80237, N, Account locked
442, Card, 41602, Y, 
443, Cash, 22108, Y, 
444, Internet Banking, 42639, Y, 
445, Gift card, 54295, N, Insufficent funds
446, Electronic, 76357, Y, 
447, Electronic, 61364, Y, 
448, Internet Banking, 21673, Y, 
449, Gift card, 11773, Y, 
450, Cash, 61315, N, Insufficent funds
451, Electronic, 54608, Y, 
452, Gift card, 83011, Y, 
453, Cash, 29023, Y, 
454, Electronic, 70673, Y, 
455, Card, 40530, Y, 
456, Card, 15111, Y, 
457, Internet Banking, 60165, Y, 
458, Cash, 90099, Y, 
459, Card, 36480, Y, 
460, Cash, 51446, N, Insufficent funds
461, Electronic, 24111, Y, 
462, Electronic, 28520, Y, 
463, Internet Banking, 47962, N, Account locked
464, Internet Banking, 41129, N, Account locked
465, Cash, 46189, Y, 
466, Electronic, 59942, Y, 
467, Internet Banking, 85113, Y, 
468, Electronic, 92061, Y, 
469, Gift card, 66832, Y, 
470, Cash, 80878, N, Insufficent funds
471, Electronic, 41334, Y, 
472, Cash, 29083, Y, 
473, Card, 68825, Y, 
474, Card, 59736, N, Invalid zip code
475, Gift card, 31309, N, Insufficent funds
476, Cash, 39598, Y, 
477, Gift card, 24514, Y, 
478, Internet Banking, 31217, Y, 
479, Electronic, 55980, N, Account locked
480, Internet Banking, 79273, Y, 
481, Cash, 73766, Y, 
482, Internet Banking, 60101, Y, 
483, Cash, 97652, N, Insufficent funds
484, Card, 32835, Y, 
485, Gift card, 27918, N, Insufficent funds
486, Gift card, 12219, N, Insufficent funds
487, Gift card, 99864, Y, 
488, Cash, 76781, Y, 
489, Card, 92120, Y, 
490, Cash, 13340, N, Insufficent funds
491, Cash, 27871, N, Insufficent funds
492, Cash, 61563, N, Insufficent funds
493, Internet Banking, 76480, Y, 
494, Gift card, 27758, Y, 
495, Gift card, 89399, N, Insufficent funds
496, Card, 74780, Y, 
497, Internet Banking, 58915, Y, 
498, Card, 50073, Y, 
499, Gift card, 42454, N, Insufficent funds
500, Cash, 76614, Y, 
501, Cash, 33420, N, Insufficent funds
502, Gift card, 58332, Y, 
503, Internet Banking, 56397, Y, 
504, Internet Banking, 93868, Y, 
505, Cash, 71774, Y, 
506, Gift card, 92069, Y, 
507, Cash, 55675, Y, 
508, Gift card, 53445, Y, 
509, Electronic, 40046, N, Account locked
510, Cash, 73298, Y, 
511, Electronic, 49438, Y, 
512, Card, 12643, Y, 
513, Gift card, 29455, Y, 
514, Card, 85897, Y, 
515, Internet Banking, 91816, Y, 
516, Internet Banking, 18624, Y, 
517, Electronic, 63654, Y, 
518, Card, 78670, N, Invalid zip code
519, Card, 95658, N, Invalid zip code
520, Card, 88876, Y, 
521, Internet Banking, 98097, N, Account locked
522, Cash, 41595, Y, 
523, Electronic, 47030, Y, 
524, Internet Banking, 39052, Y, 
525, Internet Banking, 69354, Y, 
526, Electronic, 40838, Y, 
527, Electronic, 92526, Y, 
528, Cash, 89266, Y, 
529, Electronic, 93680, Y, 
530, Internet Banking, 57299, Y, 
531, Electronic, 46557, N, Account locked
532, Cash, 45561, Y, 
533, Gift card, 93532, Y, 
534, Electronic, 19341, N, Account locked
535, Cash, 93439, N, Insufficent funds
536, Card, 67330, Y, 
537, Gift card, 49304, N, Insufficent funds
538, Card, 57343, Y, 
539, Cash, 15972, Y, 
540, Cash, 78966, Y, 
541, Gift card, 32292, N, Insufficent funds
542, Cash, 27329, Y, 
543, Gift card, 10493, Y, 
544, Electronic, 54766, Y, 
545, Cash, 91466, Y, 
546, Cash, 15549, Y, 
547, Cash, 24332, N, Insufficent funds
548, Electronic, 89512, Y, 
549, Cash, 93458, Y, 
550, Electronic, 34252, Y, 
551, Electronic, 57132, Y, 
552, Card, 77575, N, Invalid zip code
553, Gift card, 51467, N, Insufficent funds
554, Card, 13591, Y, 
555, Card, 16287, N, Invalid card number
556, Card, 23088, Y, 
557, Cash, 69906, Y, 
558, Card, 71334, Y, 
559, Gift card, 76868, Y, 
560, Cash, 87866, Y, 
561, Electronic, 39003, N, Account locked
562, Cash, 11725, N, Insufficent funds
563, Cash, 49430, Y, 
564, Cash, 84615, N, Insufficent funds
565, Card, 26557, Y, 
566, Electronic, 41912, N, Account locked
567, Card, 79714, Y, 
568, Gift card, 12962, Y, 
569, Card, 51777, N, Invalid CVV
570, Cash, 95616, Y, 
571, Gift card, 99586, Y, 
572, Cash, 65872, Y, 
573, Cash, 19692, Y, 
574, Card, 48041, N, Invalid CVV
575, Cash, 71333, Y, 
576, Gift card, 52623, Y, 
577, Card, 80449, Y, 
578, Gift card, 18496, Y, 
579, Card, 64510, Y, 
580, Gift card, 66642, Y, 
581, Cash, 24586, Y, 
582, Card, 49915, Y, 
583, Cash, 19425, Y, 
584, Gift card, 19828, Y, 
585, Electronic, 81632, Y, 
586, Internet Banking, 14037, N, Account locked
587, Card, 84398, Y, 
588, Electronic, 42922, Y, 
589, Gift card, 76760, Y, 
590, Cash, 96140, Y, 
591, Gift card, 40094, Y, 
592, Cash, 19161, Y, 
593, Gift card, 57928, Y, 
594, Electronic, 31353, Y, 
595, Gift card, 49073, Y, 
596, Electronic, 60178, Y, 
597, Internet Banking, 92629, Y, 
598, Electronic, 90678, Y, 
599, Internet Banking, 54430, N, Account locked
600, Gift card, 58730, Y, 
601, Card, 47562, Y, 
602, Gift card, 81092, Y, 
603, Card, 19300, N, Invalid zip code
604, Internet Banking, 72696, N, Account locked
605, Internet Banking, 11574, Y, 
606, Cash, 97862, Y, 
607, Internet Banking, 85287, N, Account locked
608, Card, 28240, Y, 
609, Gift card, 33037, Y, 
610, Electronic, 25829, Y, 
611, Card, 97661, Y, 
612, Card, 99480, Y, 
613, Electronic, 54677, Y, 
614, Internet Banking, 67781, Y, 
615, Card, 72586, Y, 
616, Cash, 61407, Y, 
617, Gift card, 28039, Y, 
618, Internet Banking, 79378, N, Account locked
619, Gift card, 41599, Y, 
620, Electronic, 28017, Y, 
621, Electronic, 24194, Y, 
622, Electronic, 57336, N, Account locked
623, Gift card, 41996, N, Insufficent funds
624, Cash, 29939, Y, 
625, Card, 35930, Y, 
626, Electronic, 81223, Y, 
627, Cash, 68171, Y, 
628, Gift card, 51518, N, Insufficent funds
629, Electronic, 58134, N, Account locked
630, Card, 87494, N, Invalid zip code
631, Card, 52938, Y, 
632, Electronic, 41220, Y, 
633, Gift card, 39018, Y, 
634, Card, 94730, Y, 
635, Internet Banking, 59136, Y, 
636, Cash, 19735, N, Insufficent funds
637, Cash, 90281, Y, 
638, Card, 42104, Y, 
639, Cash, 21900, N, Insufficent funds
640, Card, 46506, Y, 
641, Gift card, 17620, Y, 
642, Internet Banking, 33632, Y, 
643, Electronic, 26559, Y, 
644, Card, 81871, Y, 
645, Gift card, 61518, Y, 
646, Gift card, 62006, Y, 
647, Gift card, 94352, N, Insufficent funds
648, Cash, 23540, Y, 
649, Card, 58053, Y, 
650, Cash, 23184, Y, 
651, Gift card, 42133, Y, 
652, Internet Banking, 49609, Y, 
653, Cash, 45756, Y, 
654, Cash, 48509, Y, 
655, Card, 28052, Y, 
656, Cash, 39121, Y, 
657, Card, 10671, Y, 
658, Gift card, 88209, N, Insufficent funds
659, Internet Banking, 45440, N, Account locked
660, Internet Banking, 14028, Y, 
661, Gift card, 26447, Y, 
662, Gift card, 51812, N, Insufficent funds
663, Internet Banking, 60134, N, Account locked
664, Card, 43034, Y, 
665, Card, 28783, Y, 
666, Gift card, 22172, N, Insufficent funds
667, Electronic, 37303, Y, 
668, Electronic, 14270, N, Account locked
669, Card, 54894, Y, 
670, Card, 36344, N, Invalid zip code
671, Cash, 82217, N, Insufficent funds
672, Electronic, 79903, Y, 
673, Cash, 69276, Y, 
674, Card, 85798, Y, 
675, Electronic, 62812, Y, 
676, Electronic, 91624, N, Account locked
677, Electronic, 22697, Y, 
678, Card, 20903, Y, 
679, Electronic, 21486, Y, 
680, Internet Banking, 67320, Y, 
681, Electronic, 54855, N, Account locked
682, Electronic, 37654, Y, 
683, Internet Banking, 55046, Y, 
684, Card, 15879, Y, 
685, Cash, 79784, N, Insufficent funds
686, Internet Banking, 71569, N, Account locked
687, Card, 17586, Y, 
688, Cash, 16199, Y, 
689, Electronic, 26592, Y, 
690, Card, 58472, Y, 
691, Cash, 95562, Y, 
692, Internet Banking, 26064, Y, 
693, Card, 51295, Y, 
694, Card, 83243, Y, 
695, Internet Banking, 52484, N, Account locked
696, Electronic, 34598, Y, 
697, Electronic, 17175, N, Account locked
698, Electronic, 24550, Y, 
699, Internet Banking, 44010, Y, 
700, Gift card, 67076, Y, 
701, Gift card, 94076, Y, 
702, Cash, 54626, N, Insufficent funds
703, Gift card, 89994, Y, 
704, Card, 83577, N, Invalid card number
705, Card, 77600, N, Invalid zip code
706, Card, 43244, N, Invalid card number
707, Cash, 96697, Y, 
708, Cash, 25202, Y, 
709, Cash, 23748, Y, 
710, Internet Banking, 30377, Y, 
711, Electronic, 68888, N, Account locked
712, Cash, 67135, Y, 
713, Cash, 76837, Y, 
714, Cash, 39700, Y, 
715, Gift card, 52032, Y, 
716, Electronic, 80517, Y, 
717, Cash, 35140, Y, 
718, Internet Banking, 23884, Y, 
719, Electronic, 61892, Y, 
720, Gift card, 11444, Y, 
721, Gift card, 84422, Y, 
722, Card, 71728, Y, 
723, Electronic, 78674, Y, 
724, Electronic, 11095, Y, 
725, Internet Banking, 41403, Y, 
726, Card, 10444, Y, 
727, Gift card, 77491, Y, 
728, Electronic, 41298, N, Account locked
729, Electronic, 58424, N, Account locked
730, Gift card, 39351, Y, 
731, Electronic, 10506, Y, 
732, Card, 20626, N, Invalid CVV
733, Electronic, 54086, N, Account locked
734, Electronic, 65410, Y, 
735, Card, 64415, Y, 
736, Card, 12481, Y, 
737, Internet Banking, 55213, Y, 
738, Internet Banking, 75696, N, Account locked
739, Cash, 44816, Y, 
740, Gift card, 50689, Y, 
741, Card, 17577, N, Invalid CVV
742, Electronic, 84830, N, Account locked
743, Card, 60568, Y, 
744, Internet Banking, 19246, Y, 
745, Electronic, 15066, Y, 
746, Cash, 39268, Y, 
747, Card, 23633, Y, 
748, Internet Banking, 83521, N, Account locked
749, Internet Banking, 70076, N, Account locked
750, Electronic, 30599, Y, 
751, Card, 98100, Y, 
752, Electronic, 21211, Y, 
753, Internet Banking, 74490, Y, 
754, Electronic, 46780, Y, 
755, Gift card, 49029, Y, 
756, Electronic, 48296, Y, 
757, Internet Banking, 10369, Y, 
758, Card, 83669, Y, 
759, Card, 43460, Y, 
760, Gift card, 63794, N, Insufficent funds
761, Cash, 89357, N, Insufficent funds
762, Internet Banking, 88053, N, Account locked
763, Internet Banking, 26718, Y, 
764, Card, 69398, Y, 
765, Gift card, 91718, Y, 
766, Internet Banking, 48088, N, Account locked
767, Cash, 98017, Y, 
768, Cash, 73476, N, Insufficent funds
769, Electronic, 83549, Y, 
770, Cash, 60963, Y, 
771, Card, 76729, Y, 
772, Electronic, 56184, Y, 
773, Electronic, 62698, N, Account locked
774, Internet Banking, 60569, N, Account locked
775, Electronic, 23860, Y, 
776, Gift card, 38072, Y, 
777, Card, 30816, Y, 
778, Cash, 66043, Y, 
779, Internet Banking, 25888, Y, 
780, Internet Banking, 60032, N, Account locked
781, Card, 34174, Y, 
782, Cash, 18450, Y, 
783, Gift card, 51960, N, Insufficent funds
784, Gift card, 39019, Y, 
785, Electronic, 43496, Y, 
786, Cash, 73261, N, Insufficent funds
787, Electronic, 91498, Y, 
788, Electronic, 88007, Y, 
789, Gift card, 29609, Y, 
790, Cash, 88967, Y, 
791, Card, 50471, Y, 
792, Internet Banking, 29735, Y, 
793, Card, 44999, Y, 
794, Cash, 32303, Y, 
795, Internet Banking, 54333, Y, 
796, Cash, 51973, Y, 
797, Gift card, 65111, Y, 
798, Cash, 69371, Y, 
799, Card, 59189, Y, 
800, Internet Banking, 93433, Y, 
801, Card, 23541, N, Invalid CVV
802, Gift card, 80245, N, Insufficent funds
803, Card, 77984, Y, 
804, Gift card, 59748, N, Insufficent funds
805, Card, 77973, N, Invalid CVV
806, Gift card, 88867, Y, 
807, Gift card, 54918, Y, 
808, Cash, 94219, Y, 
809, Card, 51101, Y, 
810, Cash, 57086, Y, 
811, Cash, 38784, Y, 
812, Electronic, 95151, N, Account locked
813, Cash, 92541, Y, 
814, Electronic, 34411, Y, 
815, Internet Banking, 58300, Y, 
816, Internet Banking, 91585, N, Account locked
817, Internet Banking, 39402, Y, 
818, Card, 96022, Y, 
819, Gift card, 90097, Y, 
820, Electronic, 51126, Y, 
821, Gift card, 68263, Y, 
822, Electronic, 77050, Y, 
823, Cash, 15107, Y, 
824, Electronic, 95253, Y, 
825, Internet Banking, 34189, Y, 
826, Card, 26368, Y, 
827, Card, 77695, Y, 
828, Internet Banking, 19380, Y, 
829, Internet Banking, 75613, Y, 
830, Cash, 98792, Y, 
831, Cash, 15375, Y, 
832, Cash, 98572, Y, 
833, Electronic, 13130, Y, 
834, Electronic, 31293, Y, 
835, Gift card, 67338, N, Insufficent funds
836, Electronic, 28252, Y, 
837, Electronic, 66816, N, Account locked
838, Electronic, 62728, Y, 
